Gesture_Video_File_Name,Output_Label
T1-H-0.mp4,1
T1-H-1.mp4,5
T1-H-2.mp4,9
T1-H-3.mp4,5
T1-H-4.mp4,16
T1-H-5.mp4,5
T1-H-6.mp4,4
T1-H-7.mp4,9
T1-H-8.mp4,3
T1-H-9.mp4,9
T1-H-DecreaseFanSpeed.mp4,5
T1-H-Fan1On.mp4,13
T1-H-Fan2Off.mp4,5
T1-H-IncreaseFanSpeed.mp4,16
T1-H-LightOff.mp4,6
T1-H-LightOn.mp4,12
T1-H-SetThermo.mp4,0
FanDown_PRACTICE_1_Obaid.mp4,5
FanDown_PRACTICE_2_Obaid.mp4,5
FanOff_PRACTICE_2_Obaid.mp4,5
FanOff_PRACTICE_1_Obaid.mp4,5
FanOn_PRACTICE_1_Obaid.mp4,13
FanOn_PRACTICE_2_Obaid.mp4,13
FanUp_PRACTICE_2_Obaid.mp4,16
FanUp_PRACTICE_1_Obaid.mp4,16
LightOff_PRACTICE_1_Obaid.mp4,6
LightOff_PRACTICE_2_Obaid.mp4,6
LightOn_PRACTICE_2_Obaid.mp4,12
LightOn_PRACTICE_1_Obaid.mp4,12
Num0_PRACTICE_1_Obaid.mp4,1
Num0_PRACTICE_2_Obaid.mp4,1
Num9_PRACTICE_1_Obaid.mp4,9
Num9_PRACTICE_2_Obaid.mp4,9
Num8_PRACTICE_2_Obaid.mp4,3
Num8_PRACTICE_1_Obaid.mp4,3
Num7_PRACTICE_1_Obaid.mp4,9
Num7_PRACTICE_2_Obaid.mp4,9
Num6_PRACTICE_2_Obaid.mp4,4
Num6_PRACTICE_1_Obaid.mp4,4
Num5_PRACTICE_2_Obaid.mp4,5
Num5_PRACTICE_1_Obaid.mp4,5
Num4_PRACTICE_1_Obaid.mp4,16
Num4_PRACTICE_2_Obaid.mp4,16
Num3_PRACTICE_1_Obaid.mp4,5
Num3_PRACTICE_2_Obaid.mp4,5
Num2_PRACTICE_1_Obaid.mp4,9
Num2_PRACTICE_2_Obaid.mp4,9
Num1_PRACTICE_1_Obaid.mp4,5
Num1_PRACTICE_2_Obaid.mp4,5
